country,state/province,change_date,changed_field,changed_from,changed_to
United States of America,California,11/03/2020,congregation_restriction,None,250
United States of America,California,11/03/2020,distance_saving_instructions,None,2
United States of America,California,16/03/2020,risk_groups_isolation,FALSE,TRUE
United States of America,California,13/03/2020,educational_institutions,0,1
United States of America,California,17/03/2020,unnecessary_business,0,1
United States of America,California,19/03/2020,partial_quarantine,FALSE,TRUE
United States of America,California,19/03/2020,limit_hospital_visits,FALSE,TRUE
United States of America,California,19/03/2020,unnecessary_business,1,2
United States of America,California,19/03/2020,educational_institutions,1,2
United States of America,California,19/03/2020,public_transport_restriction,0,1
United States of America,California,19/03/2020,limit_retirement_homes_visits,FALSE,TRUE
United States of America,California,19/03/2020,religious_institutions,0,2
United States of America,New York,08/03/2020,educational_institutions,0,1
United States of America,New York,12/03/2020,congregation_restriction,None,500
United States of America,New York,09/03/2020,exposure_to_patient_isolation,FALSE,TRUE
United States of America,New York,09/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
United States of America,New York,13/03/2020,limit_retirement_homes_visits,FALSE,TRUE
United States of America,New York,16/03/2020,congregation_restriction,500,50
United States of America,New York,16/03/2020,unnecessary_business,0,1
United States of America,New York,22/03/2020,partial_quarantine,FALSE,TRUE
United States of America,New York,22/03/2020,educational_institutions,1,2
United States of America,New York,22/03/2020,religious_institutions,0,2
United States of America,New York,22/03/2020,limit_retirement_homes_visits,FALSE,TRUE
United States of America,New York,22/03/2020,public_transport_restriction,0,1
United States of America,New York,22/03/2020,unnecessary_business,1,2
United States of America,New York,22/03/2020,risk_groups_isolation,FALSE,TRUE
United States of America,Washington,01/03/2020,educational_institutions,0,1
United States of America,Washington,24/01/2020,exposure_to_patient_isolation,FALSE,TRUE
United States of America,Washington,08/03/2020,distance_saving_instructions,None,1
United States of America,Washington,11/03/2020,congregation_restriction,None,250
United States of America,Washington,17/03/2020,educational_institutions,1,2
United States of America,Washington,14/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
United States of America,Washington,19/03/2020,public_transport_restriction,0,1
United States of America,Washington,20/03/2020,unnecessary_business,1,2
United States of America,Washington,04/03/2020,unnecessary_business,0,1
United States of America,Washington,21/03/2020,partial_quarantine,FALSE,TRUE
United States of America,Washington,22/03/2020,police_army_enforcement,FALSE,TRUE
United States of America,Washington,19/03/2020,disinfecting_public_spaces,FALSE,TRUE
United States of America,Washington,05/03/2020,limit_hospital_visits,FALSE,TRUE
United States of America,Washington,03/03/2020,limit_retirement_homes_visits,FALSE,TRUE
United States of America,Washington,21/03/2020,enter_area_isolation,FALSE,TRUE
United States of America,Washington,21/03/2020,risk_groups_isolation,FALSE,TRUE
United States of America,Washington,21/03/2020,religious_institutions,0,2
United States of America,Washington,18/03/2020,congregation_restriction,250,10
United States of America,all,16/03/2020,exposure_to_patient_isolation,FALSE,TRUE
United States of America,all,16/03/2020,risk_groups_isolation,FALSE,TRUE
United States of America,all,16/03/2020,congregation_restriction,None,10
United States of America,all,16/03/2020,limit_retirement_homes_visits,FALSE,TRUE
